--- Log Capture Start: 20260318_182654 ---
03-18 18:24:32.141 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:32.243 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:32.343 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:32.441 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:32.544 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:32.643 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:32.744 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:32.949 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-50)，但未检测到靠近动作 (原地站立)
03-18 18:24:33.051 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-50)，但未检测到靠近动作 (原地站立)
03-18 18:24:33.153 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-50)，但未检测到靠近动作 (原地站立)
03-18 18:24:33.266 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-49)，但未检测到靠近动作 (原地站立)
03-18 18:24:33.357 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-49)，但未检测到靠近动作 (原地站立)
03-18 18:24:33.459 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-49)，但未检测到靠近动作 (原地站立)
03-18 18:24:33.556 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-50)，但未检测到靠近动作 (原地站立)
03-18 18:24:33.660 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-50)，但未检测到靠近动作 (原地站立)
03-18 18:24:33.760 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-50)，但未检测到靠近动作 (原地站立)
03-18 18:24:33.865 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-50)，但未检测到靠近动作 (原地站立)
03-18 18:24:33.963 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-50)，但未检测到靠近动作 (原地站立)
03-18 18:24:34.068 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-50)，但未检测到靠近动作 (原地站立)
03-18 18:24:34.167 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:34.268 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:34.373 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:34.476 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:34.574 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:34.673 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:34.774 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:34.875 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:34.981 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:35.081 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:35.183 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:35.284 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:35.386 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:35.486 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:35.586 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:35.686 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:35.786 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:35.883 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:35.989 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:36.092 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:36.190 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:36.294 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:36.392 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:36.495 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:36.595 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:36.694 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:36.794 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:36.899 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:37.000 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:37.102 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:37.203 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:37.305 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:37.405 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:37.510 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:37.619 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:37.708 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-50)，但未检测到靠近动作 (原地站立)
03-18 18:24:37.815 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-50)，但未检测到靠近动作 (原地站立)
03-18 18:24:37.914 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-50)，但未检测到靠近动作 (原地站立)
03-18 18:24:38.523 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-47)，但未检测到靠近动作 (原地站立)
03-18 18:24:38.619 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-47)，但未检测到靠近动作 (原地站立)
03-18 18:24:38.723 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-47)，但未检测到靠近动作 (原地站立)
03-18 18:24:38.826 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-48)，但未检测到靠近动作 (原地站立)
03-18 18:24:38.927 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-49)，但未检测到靠近动作 (原地站立)
03-18 18:24:39.031 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-49)，但未检测到靠近动作 (原地站立)
03-18 18:24:39.127 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-50)，但未检测到靠近动作 (原地站立)
03-18 18:24:39.231 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:39.331 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:39.433 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-52)，但未检测到靠近动作 (原地站立)
03-18 18:24:39.537 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:39.634 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:39.738 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:39.843 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:39.943 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:40.048 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
03-18 18:24:40.149 D/BleProximity: 🛡️ [防抖拦截] 信号在解锁区(-51)，但未检测到靠近动作 (原地站立)
