--- Log Capture Start: 20260214_164856 ---
02-14 16:44:46.853 D/MG_NET_LOG: │ Result: {"id":579453,"tag_name":"5.2","target_commitish":"72fcb6f4c2f8d073856fb0fb6e0610f39716b607","prerelease":false,"name":"蓝牙服务优化","body":"1.蓝牙服务增加锁屏退让策略以及亮屏解锁优先\r\n2.增加隐藏最新任务","author":{"id":8784824,"login":"yangyachao-X","name":"YangYachao","avatar_url":"https://foruda.gitee.com/avatar/1677149462712290355/8784824_yangyachao-x_1645510740.png","url":"https://gitee.com/api/v5/users/yangyachao-X","html_url":"https://gitee.com/yangyachao-X","remark":"","followers_url":"https://gitee.com/api/v5/users/yangyachao-X/followers","following_url":"https://gitee.com/api/v5/users/yangyachao-X/following_url{/other_user}","gists_url":"https://gitee.com/api/v5/users/yangyachao-X/gists{/gist_id}","starred_url":"https://gitee.com/api/v5/users/yangyachao-X/starred{/owner}{/repo}","subscriptions_url":"https://gitee.com/api/v5/users/yangyachao-X/subscriptions","organizations_url":"https://gitee.com/api/v5/users/yangyachao-X/orgs","repos_url":"https://gitee.com/api/v5/users/yangyachao-X/repos","events_url":"https://gitee.com/api/v5/users/yangyachao-X/events{/privacy}","received_events_url":"https://gitee.com/api/v5/users/yangyachao-X/received_events","type":"User"},"created_at":"2026-02-14T11:53:43+08:00","assets":[{"browser_download_url":"https://gitee.com/yangyachao-X/mg-linker/releases/download/5.2/MG%20Linker.apk","name":"MG Linker.apk"},{"browser_download_url":"https://gitee.com/yangyachao-X/mg-linker/archive/refs/tags/5.2.zip","name":"5.2.zip"},{"browser_download_url":"https://gitee.com/yangyachao-X/mg-linker/archive/refs/tags/5.2.tar.gz","name":"5.2.tar.gz"}]}
02-14 16:44:46.853 D/MG_NET_LOG: └──────────────────────────────────────────────────
02-14 16:44:47.021 D/BleProximity: 📶 RSSI: -57
02-14 16:44:47.327 D/BleProximity: 📶 RSSI: -57
02-14 16:44:47.638 D/BleProximity: 📶 RSSI: -57
02-14 16:44:47.961 D/BleProximity: 📶 RSSI: -58
02-14 16:44:48.260 D/BleProximity: 📶 RSSI: -56
02-14 16:44:48.563 D/BleProximity: 📶 RSSI: -55
02-14 16:44:48.862 D/BleProximity: 📶 RSSI: -55
02-14 16:44:49.165 D/BleProximity: 📶 RSSI: -55
02-14 16:44:49.466 D/BleProximity: 📶 RSSI: -56
02-14 16:44:49.770 D/BleProximity: 📶 RSSI: -56
02-14 16:44:50.075 D/BleProximity: 📶 RSSI: -56
02-14 16:44:50.375 D/BleProximity: 📶 RSSI: -56
02-14 16:44:50.678 D/BleProximity: 📶 RSSI: -56
02-14 16:44:50.986 D/BleProximity: 📶 RSSI: -57
02-14 16:44:51.294 D/BleProximity: 📶 RSSI: -56
02-14 16:44:51.596 D/BleProximity: 📶 RSSI: -55
02-14 16:44:51.899 D/BleProximity: 📶 RSSI: -56
02-14 16:44:52.202 D/BleProximity: 📶 RSSI: -57
02-14 16:44:52.509 D/BleProximity: 📶 RSSI: -58
02-14 16:44:52.806 D/BleProximity: 📶 RSSI: -55
02-14 16:44:53.109 D/BleProximity: 📶 RSSI: -55
02-14 16:44:53.411 D/BleProximity: 📶 RSSI: -55
02-14 16:44:53.744 D/BleProximity: 📶 RSSI: -55
02-14 16:44:54.028 D/BleProximity: 📶 RSSI: -57
02-14 16:44:54.334 D/BleProximity: 📶 RSSI: -56
02-14 16:44:54.640 D/BleProximity: 📶 RSSI: -57
02-14 16:44:54.948 D/BleProximity: 📶 RSSI: -58
02-14 16:44:55.253 D/BleProximity: 📶 RSSI: -53
02-14 16:44:55.556 D/BleProximity: 📶 RSSI: -50
02-14 16:44:55.875 D/BleProximity: 📶 RSSI: -52
02-14 16:44:56.157 D/BleProximity: 📶 RSSI: -56
02-14 16:44:56.459 D/BleProximity: 📶 RSSI: -58
02-14 16:44:56.765 D/BleProximity: 📶 RSSI: -58
02-14 16:44:57.071 D/BleProximity: 📶 RSSI: -56
02-14 16:44:57.375 D/BleProximity: 📶 RSSI: -57
02-14 16:44:57.680 D/BleProximity: 📶 RSSI: -57
02-14 16:44:57.986 D/BleProximity: 📶 RSSI: -57
02-14 16:44:58.288 D/BleProximity: 📶 RSSI: -56
02-14 16:44:58.596 D/BleProximity: 📶 RSSI: -56
02-14 16:44:58.903 D/BleProximity: 📶 RSSI: -57
02-14 16:44:59.210 D/BleProximity: 📶 RSSI: -58
02-14 16:44:59.515 D/BleProximity: 📶 RSSI: -58
02-14 16:44:59.820 D/BleProximity: 📶 RSSI: -59
02-14 16:45:00.126 D/BleProximity: 📶 RSSI: -58
02-14 16:45:00.431 D/BleProximity: 📶 RSSI: -57
02-14 16:45:00.731 D/BleProximity: 📶 RSSI: -56
02-14 16:45:01.039 D/BleProximity: 📶 RSSI: -55
02-14 16:45:01.340 D/BleProximity: 📶 RSSI: -56
02-14 16:45:01.641 D/BleProximity: 📶 RSSI: -55
02-14 16:45:01.945 D/BleProximity: 📶 RSSI: -55
02-14 16:45:02.248 D/BleProximity: 📶 RSSI: -55
02-14 16:45:02.550 D/BleProximity: 📶 RSSI: -52
02-14 16:45:02.852 D/BleProximity: 📶 RSSI: -53
02-14 16:45:03.156 D/BleProximity: 📶 RSSI: -52
02-14 16:45:03.458 D/BleProximity: 📶 RSSI: -53
02-14 16:45:03.760 D/BleProximity: 📶 RSSI: -55
02-14 16:45:04.063 D/BleProximity: 📶 RSSI: -54
02-14 16:45:04.368 D/BleProximity: 📶 RSSI: -53
02-14 16:45:04.673 D/BleProximity: 📶 RSSI: -53
02-14 16:45:04.983 D/BleProximity: 📶 RSSI: -53
02-14 16:45:05.285 D/BleProximity: 📶 RSSI: -53
02-14 16:45:05.588 D/BleProximity: 📶 RSSI: -52
02-14 16:45:05.893 D/BleProximity: 📶 RSSI: -52
02-14 16:45:06.202 D/BleProximity: 📶 RSSI: -52
02-14 16:45:06.508 D/BleProximity: 📶 RSSI: -53
02-14 16:45:06.807 D/BleProximity: 📶 RSSI: -52
02-14 16:45:07.126 D/BleProximity: 📶 RSSI: -54
02-14 16:45:07.416 D/BleProximity: 📶 RSSI: -54
02-14 16:45:07.740 D/BleProximity: 📶 RSSI: -53
02-14 16:45:08.057 D/BleProximity: 📶 RSSI: -53
02-14 16:45:08.356 D/BleProximity: 📶 RSSI: -53
02-14 16:45:08.646 D/BleProximity: 📶 RSSI: -53
02-14 16:45:08.972 D/BleProximity: 📶 RSSI: -52
02-14 16:45:09.263 D/BleProximity: 📶 RSSI: -54
02-14 16:45:09.574 D/BleProximity: 📶 RSSI: -53
02-14 16:45:09.877 D/BleProximity: 📶 RSSI: -52
02-14 16:45:10.205 D/BleProximity: 📶 RSSI: -52
02-14 16:45:10.520 D/BleProximity: 📶 RSSI: -53
02-14 16:45:10.817 D/BleProximity: 📶 RSSI: -54
02-14 16:45:11.135 D/BleProximity: 📶 RSSI: -53
02-14 16:45:11.452 D/BleProximity: 📶 RSSI: -54
02-14 16:45:11.742 D/BleProximity: 📶 RSSI: -54
02-14 16:45:12.043 D/BleProximity: 📶 RSSI: -53
02-14 16:45:12.359 D/BleProximity: 📶 RSSI: -54
02-14 16:45:12.684 D/BleProximity: 📶 RSSI: -53
02-14 16:45:12.998 D/BleProximity: 📶 RSSI: -53
02-14 16:45:13.314 D/BleProximity: 📶 RSSI: -53
02-14 16:45:13.617 D/BleProximity: 📶 RSSI: -53
02-14 16:45:13.922 D/BleProximity: 📶 RSSI: -52
02-14 16:45:14.225 D/BleProximity: 📶 RSSI: -54
02-14 16:45:14.530 D/BleProximity: 📶 RSSI: -53
02-14 16:45:14.835 D/BleProximity: 📶 RSSI: -54
02-14 16:45:15.142 D/BleProximity: 📶 RSSI: -50
02-14 16:45:15.445 D/BleProximity: 📶 RSSI: -52
02-14 16:45:15.749 D/BleProximity: 📶 RSSI: -51
02-14 16:45:16.054 D/BleProximity: 📶 RSSI: -52
02-14 16:45:16.355 D/BleProximity: 📶 RSSI: -55
02-14 16:45:16.658 D/BleProximity: 📶 RSSI: -55
02-14 16:45:16.964 D/BleProximity: 📶 RSSI: -53
02-14 16:45:17.281 D/BleProximity: 📶 RSSI: -53
02-14 16:45:17.592 D/BleProximity: 📶 RSSI: -54
02-14 16:45:17.897 D/BleProximity: 📶 RSSI: -55
02-14 16:45:18.223 D/BleProximity: 📶 RSSI: -53
02-14 16:45:18.538 D/BleProximity: 📶 RSSI: -52
02-14 16:45:18.853 D/BleProximity: 📶 RSSI: -52
02-14 16:45:19.157 D/BleProximity: 📶 RSSI: -53
02-14 16:45:19.473 D/BleProximity: 📶 RSSI: -54
02-14 16:45:19.781 D/BleProximity: 📶 RSSI: -55
02-14 16:45:20.081 D/BleProximity: 📶 RSSI: -55
02-14 16:45:20.385 D/BleProximity: 📶 RSSI: -56
02-14 16:45:20.690 D/BleProximity: 📶 RSSI: -55
02-14 16:45:21.019 D/BleProximity: 📶 RSSI: -54
02-14 16:45:21.334 D/BleProximity: 📶 RSSI: -53
02-14 16:45:21.624 D/BleProximity: 📶 RSSI: -55
02-14 16:45:21.950 D/BleProximity: 📶 RSSI: -54
02-14 16:45:22.240 D/BleProximity: 📶 RSSI: -54
02-14 16:45:22.541 D/BleProximity: 📶 RSSI: -54
02-14 16:45:22.868 D/BleProximity: 📶 RSSI: -55
02-14 16:45:23.169 D/BleProximity: 📶 RSSI: -53
02-14 16:45:23.488 D/BleProximity: 📶 RSSI: -55
02-14 16:45:23.799 D/BleProximity: 📶 RSSI: -54
02-14 16:45:24.118 D/BleProximity: 📶 RSSI: -55
02-14 16:45:24.431 D/BleProximity: 📶 RSSI: -55
02-14 16:45:24.735 D/BleProximity: 📶 RSSI: -54
02-14 16:45:25.046 D/BleProximity: 📶 RSSI: -54
02-14 16:45:25.365 D/BleProximity: 📶 RSSI: -56
02-14 16:45:25.672 D/BleProximity: 📶 RSSI: -56
02-14 16:45:25.977 D/BleProximity: 📶 RSSI: -61
02-14 16:45:26.287 D/BleProximity: 📶 RSSI: -57
02-14 16:45:26.591 D/BleProximity: 📶 RSSI: -56
02-14 16:45:26.901 D/BleProximity: 📶 RSSI: -57
02-14 16:45:27.208 D/BleProximity: 📶 RSSI: -59
02-14 16:45:27.516 D/BleProximity: 📶 RSSI: -58
02-14 16:45:27.823 D/BleProximity: 📶 RSSI: -58
02-14 16:45:28.132 D/BleProximity: 📶 RSSI: -58
02-14 16:45:28.435 D/BleProximity: 📶 RSSI: -58
02-14 16:45:28.744 D/BleProximity: 📶 RSSI: -57
02-14 16:45:29.049 D/BleProximity: 📶 RSSI: -56
02-14 16:45:29.360 D/BleProximity: 📶 RSSI: -57
02-14 16:45:29.676 D/BleProximity: 📶 RSSI: -58
02-14 16:45:29.991 D/BleProximity: 📶 RSSI: -59
02-14 16:45:30.306 D/BleProximity: 📶 RSSI: -58
02-14 16:45:30.624 D/BleProximity: 📶 RSSI: -58
02-14 16:45:30.917 D/BleProximity: 📶 RSSI: -57
02-14 16:45:31.218 D/BleProximity: 📶 RSSI: -58
02-14 16:45:31.525 D/BleProximity: 📶 RSSI: -58
02-14 16:45:31.825 D/BleProximity: 📶 RSSI: -57
02-14 16:45:32.132 D/BleProximity: 📶 RSSI: -55
02-14 16:45:32.433 D/BleProximity: 📶 RSSI: -59
02-14 16:45:32.741 D/BleProximity: 📶 RSSI: -58
02-14 16:45:33.048 D/BleProximity: 📶 RSSI: -57
02-14 16:45:33.355 D/BleProximity: 📶 RSSI: -56
02-14 16:45:33.661 D/BleProximity: 📶 RSSI: -58
02-14 16:45:33.966 D/BleProximity: 📶 RSSI: -56
02-14 16:45:34.273 D/BleProximity: 📶 RSSI: -57
02-14 16:45:34.579 D/BleProximity: 📶 RSSI: -58
02-14 16:45:34.882 D/BleProximity: 📶 RSSI: -57
02-14 16:45:35.195 D/BleProximity: 📶 RSSI: -52
02-14 16:45:35.494 D/BleProximity: 📶 RSSI: -52
02-14 16:45:35.801 D/BleProximity: 📶 RSSI: -57
02-14 16:45:36.100 D/BleProximity: 📶 RSSI: -62
02-14 16:45:36.409 D/BleProximity: 📶 RSSI: -65
02-14 16:45:36.717 D/BleProximity: 📶 RSSI: -68
02-14 16:45:37.020 D/BleProximity: 📶 RSSI: -65
02-14 16:45:37.324 D/BleProximity: 📶 RSSI: -68
02-14 16:45:37.625 D/BleProximity: 📶 RSSI: -66
02-14 16:45:37.933 D/BleProximity: 📶 RSSI: -68
02-14 16:45:38.239 D/BleProximity: 📶 RSSI: -66
02-14 16:45:38.545 D/BleProximity: 📶 RSSI: -67
02-14 16:45:38.846 D/BleProximity: 📶 RSSI: -66
02-14 16:45:39.151 D/BleProximity: 📶 RSSI: -67
02-14 16:45:39.458 D/BleProximity: 📶 RSSI: -65
02-14 16:45:39.780 D/BleProximity: 📶 RSSI: -68
02-14 16:45:40.076 D/BleProximity: 📶 RSSI: -68
02-14 16:45:40.383 D/BleProximity: 📶 RSSI: -66
02-14 16:45:40.691 D/BleProximity: 📶 RSSI: -66
02-14 16:45:40.997 D/BleProximity: 📶 RSSI: -68
02-14 16:45:41.312 D/BleProximity: 📶 RSSI: -65
02-14 16:45:41.614 D/BleProximity: 📶 RSSI: -60
02-14 16:45:41.925 D/BleProximity: 📶 RSSI: -59
02-14 16:45:42.220 D/BleProximity: 📶 RSSI: -60
02-14 16:45:42.526 D/BleProximity: 📶 RSSI: -57
02-14 16:45:42.826 D/BleProximity: 📶 RSSI: -58
02-14 16:45:43.127 D/BleProximity: 📶 RSSI: -58
02-14 16:45:43.431 D/BleProximity: 📶 RSSI: -57
02-14 16:45:43.733 D/BleProximity: 📶 RSSI: -57
02-14 16:45:44.034 D/BleProximity: 📶 RSSI: -56
02-14 16:45:44.336 D/BleProximity: 📶 RSSI: -57
02-14 16:45:44.638 D/BleProximity: 📶 RSSI: -56
02-14 16:45:44.954 D/BleProximity: 📶 RSSI: -55
02-14 16:45:45.263 D/BleProximity: 📶 RSSI: -55
02-14 16:45:45.569 D/BleProximity: 📶 RSSI: -55
02-14 16:45:45.885 D/BleProximity: 📶 RSSI: -55
02-14 16:45:46.197 D/BleProximity: 📶 RSSI: -55
02-14 16:45:46.513 D/BleProximity: 📶 RSSI: -56
02-14 16:45:46.816 D/BleProximity: 📶 RSSI: -54
02-14 16:45:47.125 D/BleProximity: 📶 RSSI: -55
02-14 16:45:47.430 D/BleProximity: 📶 RSSI: -53
02-14 16:45:47.742 D/BleProximity: 📶 RSSI: -50
02-14 16:45:48.054 D/BleProximity: 📶 RSSI: -51
02-14 16:45:48.365 D/BleProximity: 📶 RSSI: -53
02-14 16:45:48.663 D/BleProximity: 📶 RSSI: -51
02-14 16:45:48.971 D/BleProximity: 📶 RSSI: -52
02-14 16:45:49.280 D/BleProximity: 📶 RSSI: -55
02-14 16:45:49.585 D/BleProximity: 📶 RSSI: -56
02-14 16:45:49.898 D/BleProximity: 📶 RSSI: -57
02-14 16:45:50.204 D/BleProximity: 📶 RSSI: -56
02-14 16:45:50.509 D/BleProximity: 📶 RSSI: -57
02-14 16:45:50.815 D/BleProximity: 📶 RSSI: -56
02-14 16:45:51.130 D/BleProximity: 📶 RSSI: -55
02-14 16:45:51.437 D/BleProximity: 📶 RSSI: -55
02-14 16:45:51.759 D/BleProximity: 📶 RSSI: -56
02-14 16:45:52.057 D/BleProximity: 📶 RSSI: -56
02-14 16:45:52.369 D/BleProximity: 📶 RSSI: -54
02-14 16:45:52.675 D/BleProximity: 📶 RSSI: -55
02-14 16:45:52.983 D/BleProximity: 📶 RSSI: -54
02-14 16:45:53.288 D/BleProximity: 📶 RSSI: -55
02-14 16:45:53.602 D/BleProximity: 📶 RSSI: -56
02-14 16:45:53.912 D/BleProximity: 📶 RSSI: -55
02-14 16:45:54.219 D/BleProximity: 📶 RSSI: -55
02-14 16:45:54.532 D/BleProximity: 📶 RSSI: -54
02-14 16:45:54.843 D/BleProximity: 📶 RSSI: -55
02-14 16:45:55.154 D/BleProximity: 📶 RSSI: -54
02-14 16:45:55.459 D/BleProximity: 📶 RSSI: -50
02-14 16:45:55.760 D/BleProximity: 📶 RSSI: -50
02-14 16:45:56.073 D/BleProximity: 📶 RSSI: -54
02-14 16:45:56.376 D/BleProximity: 📶 RSSI: -55
02-14 16:45:56.685 D/BleProximity: 📶 RSSI: -55
02-14 16:45:56.989 D/BleProximity: 📶 RSSI: -57
02-14 16:45:57.296 D/BleProximity: 📶 RSSI: -57
02-14 16:45:57.609 D/BleProximity: 📶 RSSI: -56
02-14 16:45:57.920 D/BleProximity: 📶 RSSI: -55
02-14 16:45:58.234 D/BleProximity: 📶 RSSI: -55
02-14 16:45:58.540 D/BleProximity: 📶 RSSI: -55
02-14 16:45:58.848 D/BleProximity: 📶 RSSI: -55
02-14 16:45:59.154 D/BleProximity: 📶 RSSI: -56
02-14 16:45:59.461 D/BleProximity: 📶 RSSI: -56
02-14 16:45:59.769 D/BleProximity: 📶 RSSI: -55
02-14 16:46:00.072 D/BleProximity: 📶 RSSI: -55
02-14 16:46:00.384 D/BleProximity: 📶 RSSI: -54
02-14 16:46:00.692 D/BleProximity: 📶 RSSI: -55
02-14 16:46:01.001 D/BleProximity: 📶 RSSI: -56
02-14 16:46:01.309 D/BleProximity: 📶 RSSI: -56
02-14 16:46:01.616 D/BleProximity: 📶 RSSI: -56
02-14 16:46:01.921 D/BleProximity: 📶 RSSI: -56
02-14 16:46:02.227 D/BleProximity: 📶 RSSI: -56
02-14 16:46:02.532 D/BleProximity: 📶 RSSI: -56
02-14 16:46:02.842 D/BleProximity: 📶 RSSI: -55
02-14 16:46:03.148 D/BleProximity: 📶 RSSI: -56
02-14 16:46:03.459 D/BleProximity: 📶 RSSI: -53
02-14 16:46:03.770 D/BleProximity: 📶 RSSI: -54
02-14 16:46:04.079 D/BleProximity: 📶 RSSI: -55
02-14 16:46:04.384 D/BleProximity: 📶 RSSI: -54
02-14 16:46:04.699 D/BleProximity: 📶 RSSI: -54
02-14 16:46:04.998 D/BleProximity: 📶 RSSI: -54
02-14 16:46:05.302 D/BleProximity: 📶 RSSI: -53
02-14 16:46:05.608 D/BleProximity: 📶 RSSI: -53
02-14 16:46:05.910 D/BleProximity: 📶 RSSI: -53
02-14 16:46:06.222 D/BleProximity: 📶 RSSI: -53
02-14 16:46:06.522 D/BleProximity: 📶 RSSI: -54
02-14 16:46:06.827 D/BleProximity: 📶 RSSI: -52
02-14 16:46:07.129 D/BleProximity: 📶 RSSI: -53
02-14 16:46:07.439 D/BleProximity: 📶 RSSI: -52
02-14 16:46:07.741 D/BleProximity: 📶 RSSI: -52
02-14 16:46:08.043 D/BleProximity: 📶 RSSI: -52
02-14 16:46:08.344 D/BleProximity: 📶 RSSI: -52
02-14 16:46:08.649 D/BleProximity: 📶 RSSI: -53
02-14 16:46:08.952 D/BleProximity: 📶 RSSI: -52
02-14 16:46:09.255 D/BleProximity: 📶 RSSI: -52
02-14 16:46:09.581 D/BleProximity: 📶 RSSI: -52
02-14 16:46:09.867 D/BleProximity: 📶 RSSI: -52
02-14 16:46:10.172 D/BleProximity: 📶 RSSI: -52
02-14 16:46:10.508 D/BleProximity: 📶 RSSI: -53
02-14 16:46:10.780 D/BleProximity: 📶 RSSI: -53
02-14 16:46:11.083 D/BleProximity: 📶 RSSI: -54
02-14 16:46:11.388 D/BleProximity: 📶 RSSI: -54
02-14 16:46:11.706 D/BleProximity: 📶 RSSI: -53
02-14 16:46:11.998 D/BleProximity: 📶 RSSI: -53
02-14 16:46:12.302 D/BleProximity: 📶 RSSI: -55
02-14 16:46:12.608 D/BleProximity: 📶 RSSI: -55
02-14 16:46:12.910 D/BleProximity: 📶 RSSI: -56
02-14 16:46:13.214 D/BleProximity: 📶 RSSI: -55
02-14 16:46:13.518 D/BleProximity: 📶 RSSI: -55
02-14 16:46:13.820 D/BleProximity: 📶 RSSI: -56
02-14 16:46:14.124 D/BleProximity: 📶 RSSI: -56
02-14 16:46:14.434 D/BleProximity: 📶 RSSI: -55
02-14 16:46:14.741 D/BleProximity: 📶 RSSI: -56
02-14 16:46:15.061 D/BleProximity: 📶 RSSI: -52
02-14 16:46:15.354 D/BleProximity: 📶 RSSI: -51
02-14 16:46:15.665 D/BleProximity: 📶 RSSI: -52
02-14 16:46:15.969 D/BleProximity: 📶 RSSI: -52
02-14 16:46:16.276 D/BleProximity: 📶 RSSI: -55
02-14 16:46:16.579 D/BleProximity: 📶 RSSI: -56
02-14 16:46:16.884 D/BleProximity: 📶 RSSI: -54
02-14 16:46:17.197 D/BleProximity: 📶 RSSI: -54
02-14 16:46:17.506 D/BleProximity: 📶 RSSI: -53
02-14 16:46:17.818 D/BleProximity: 📶 RSSI: -54
02-14 16:46:18.118 D/BleProximity: 📶 RSSI: -54
02-14 16:46:18.428 D/BleProximity: 📶 RSSI: -55
02-14 16:46:18.736 D/BleProximity: 📶 RSSI: -55
02-14 16:46:19.044 D/BleProximity: 📶 RSSI: -56
02-14 16:46:19.353 D/BleProximity: 📶 RSSI: -57
02-14 16:46:19.678 D/BleProximity: 📶 RSSI: -57
02-14 16:46:19.993 D/BleProximity: 📶 RSSI: -56
02-14 16:46:20.311 D/BleProximity: 📶 RSSI: -53
02-14 16:46:20.599 D/BleProximity: 📶 RSSI: -54
02-14 16:46:20.902 D/BleProximity: 📶 RSSI: -55
02-14 16:46:21.224 D/BleProximity: 📶 RSSI: -54
02-14 16:46:21.540 D/BleProximity: 📶 RSSI: -56
02-14 16:46:21.855 D/BleProximity: 📶 RSSI: -55
02-14 16:46:22.173 D/BleProximity: 📶 RSSI: -57
02-14 16:46:22.461 D/BleProximity: 📶 RSSI: -57
02-14 16:46:22.764 D/BleProximity: 📶 RSSI: -56
02-14 16:46:23.069 D/BleProximity: 📶 RSSI: -54
02-14 16:46:23.375 D/BleProximity: 📶 RSSI: -56
02-14 16:46:23.678 D/BleProximity: 📶 RSSI: -55
02-14 16:46:23.988 D/BleProximity: 📶 RSSI: -53
02-14 16:46:24.296 D/BleProximity: 📶 RSSI: -54
02-14 16:46:24.607 D/BleProximity: 📶 RSSI: -54
02-14 16:46:24.910 D/BleProximity: 📶 RSSI: -53
02-14 16:46:25.219 D/BleProximity: 📶 RSSI: -53
02-14 16:46:25.522 D/BleProximity: 📶 RSSI: -55
02-14 16:46:25.837 D/BleProximity: 📶 RSSI: -54
02-14 16:46:26.147 D/BleProximity: 📶 RSSI: -53
02-14 16:46:26.438 D/BleProximity: 📶 RSSI: -54
02-14 16:46:26.764 D/BleProximity: 📶 RSSI: -53
02-14 16:46:27.059 D/BleProximity: 📶 RSSI: -52
02-14 16:46:27.385 D/BleProximity: 📶 RSSI: -52
02-14 16:46:27.702 D/BleProximity: 📶 RSSI: -52
02-14 16:46:28.001 D/BleProximity: 📶 RSSI: -52
02-14 16:46:28.296 D/BleProximity: 📶 RSSI: -53
02-14 16:46:28.618 D/BleProximity: 📶 RSSI: -52
02-14 16:46:28.928 D/BleProximity: 📶 RSSI: -52
02-14 16:46:29.248 D/BleProximity: 📶 RSSI: -52
02-14 16:46:29.566 D/BleProximity: 📶 RSSI: -53
02-14 16:46:29.880 D/BleProximity: 📶 RSSI: -53
02-14 16:46:30.196 D/BleProximity: 📶 RSSI: -54
02-14 16:46:30.512 D/BleProximity: 📶 RSSI: -52
02-14 16:46:30.800 D/BleProximity: 📶 RSSI: -54
02-14 16:46:31.124 D/BleProximity: 📶 RSSI: -55
02-14 16:46:31.416 D/BleProximity: 📶 RSSI: -52
02-14 16:46:31.722 D/BleProximity: 📶 RSSI: -57
02-14 16:46:32.030 D/BleProximity: 📶 RSSI: -55
02-14 16:46:32.330 D/BleProximity: 📶 RSSI: -56
02-14 16:46:32.640 D/BleProximity: 📶 RSSI: -57
02-14 16:46:32.946 D/BleProximity: 📶 RSSI: -57
02-14 16:46:33.255 D/BleProximity: 📶 RSSI: -56
02-14 16:46:33.561 D/BleProximity: 📶 RSSI: -58
02-14 16:46:33.861 D/BleProximity: 📶 RSSI: -59
02-14 16:46:34.171 D/BleProximity: 📶 RSSI: -59
02-14 16:46:34.474 D/BleProximity: 📶 RSSI: -61
